brand,model_year,mileage_km,engine_power_hp,engine_capacity_cc,fuel_type,transmission,damage_score,price_usd
Honda,2017,96662.0,197.0,2.3,Diesel,Automatic,1,20670.43
Toyota,2021,64128.0,354.0,3.8,Gasoline,Manual,0,42517.88
Mercedes-Benz,2023,24896.0,294.0,3.2,Diesel,Automatic,0,62088.15
BMW,2018,155708.0,168.0,2.2,Diesel,Automatic,2,18748.43
BMW,2010,202446.0,244.0,2.6,Gasoline,Manual,0,23350.32
Mercedes-Benz,2022,42997.0,360.0,3.6,Gasoline,Manual,0,58049.65
Toyota,2014,124249.0,336.0,3.3,Gasoline,Manual,1,28739.01
Ford,2017,170064.0,108.0,1.8,Gasoline,Automatic,0,6009.46
Toyota,2024,26459.0,115.0,2.2,Gasoline,Manual,0,21667.76
Mercedes-Benz,2020,101333.0,306.0,3.0,Gasoline,Automatic,0,49765.35
Volkswagen,2023,33893.0,243.0,2.7,Gasoline,Automatic,0,39258.13
Ford,2011,165392.0,243.0,2.9,Diesel,Manual,0,19718.68
Toyota,2013,196386.0,263.0,2.8,Diesel,Manual,0,21784.56
Honda,2016,131343.0,181.0,2.6,Diesel,Manual,2,11390.99
Honda,2012,247103.0,270.0,3.1,Diesel,Automatic,0,20029.15
BMW,2022,47159.0,220.0,2.4,Hybrid,Manual,0,46213.7
Volkswagen,2021,51248.0,387.0,3.8,Diesel,Manual,0,49182.94
Audi,2014,192512.0,364.0,3.5,Diesel,Automatic,0,40604.92
Ford,2017,125987.0,362.0,3.4,Gasoline,Manual,1,31611.37
Toyota,2021,11140.0,165.0,2.2,Hybrid,Automatic,1,24999.92
BMW,2019,102687.0,266.0,3.2,Gasoline,Automatic,0,40582.73
Mercedes-Benz,2012,160365.0,273.0,3.1,Gasoline,Automatic,0,31847.16
Volkswagen,2013,139886.0,408.0,3.9,Diesel,Automatic,0,42940.29
Mercedes-Benz,2023,26860.0,220.0,2.7,Gasoline,Manual,1,41298.38
Volkswagen,2024,15895.0,138.0,2.0,Gasoline,Automatic,0,28407.75
Volkswagen,2018,112377.0,144.0,1.8,Diesel,Automatic,0,16615.11
Ford,2023,25096.0,243.0,2.7,Diesel,Automatic,0,36562.61
Toyota,2023,33562.0,289.0,3.0,Diesel,Manual,1,33269.68
Toyota,2016,146667.0,397.0,4.0,Hybrid,Automatic,2,35795.89
Toyota,2010,302843.0,207.0,2.4,Gasoline,Manual,2,9308.81
Volkswagen,2023,35773.0,352.0,3.3,Gasoline,Automatic,0,50594.14
Honda,2021,45590.0,135.0,2.0,Diesel,Automatic,0,20358.61
Volkswagen,2013,177427.0,391.0,3.7,Gasoline,Manual,0,39992.5
Audi,2013,207918.0,278.0,2.9,Diesel,Automatic,1,25039.12
Honda,2018,93241.0,399.0,3.8,Gasoline,Automatic,3,30175.98
Ford,2015,182708.0,407.0,3.8,Diesel,Automatic,0,39168.39
BMW,2018,54361.0,218.0,2.7,Diesel,Automatic,0,36472.21
Honda,2021,29758.0,138.0,2.3,Diesel,Automatic,0,22668.72
Toyota,2024,20785.0,114.0,2.0,Diesel,Automatic,0,23353.43
Honda,2015,86584.0,355.0,3.2,Diesel,Manual,0,36571.2
Toyota,2015,98149.0,207.0,2.4,Gasoline,Automatic,0,20609.24
Audi,2014,138338.0,233.0,2.6,Gasoline,Manual,0,25613.69
Mercedes-Benz,2014,185007.0,289.0,2.7,Gasoline,Automatic,0,36036.84
Volkswagen,2011,104757.0,246.0,2.6,Gasoline,Automatic,1,19704.99
Mercedes-Benz,2017,120764.0,223.0,2.6,Gasoline,Automatic,0,35999.91
Mercedes-Benz,2017,143067.0,237.0,2.6,Diesel,Automatic,0,31752.09
Honda,2020,64883.0,160.0,2.1,Gasoline,Automatic,0,20197.03
Audi,2022,37295.0,322.0,3.0,Diesel,Automatic,2,40772.6
Volkswagen,2010,232152.0,388.0,3.7,Hybrid,Automatic,1,35646.88
Mercedes-Benz,2017,102143.0,243.0,2.8,Gasoline,Automatic,0,35929.0
Audi,2014,212514.0,179.0,2.3,Gasoline,Automatic,0,16494.81
Honda,2011,142984.0,288.0,3.1,Gasoline,Automatic,0,25652.59
Toyota,2023,28012.0,250.0,2.9,Diesel,Manual,1,31472.43
Honda,2011,212041.0,115.0,1.7,Gasoline,Automatic,1,4046.84
Ford,2023,24750.0,210.0,2.5,Gasoline,Automatic,2,22510.71
Mercedes-Benz,2024,3088.0,390.0,3.6,Diesel,Automatic,0,77643.67
Mercedes-Benz,2024,11014.0,301.0,3.1,Gasoline,Automatic,3,40401.4
Toyota,2015,173222.0,152.0,1.9,Diesel,Automatic,3,8349.12
Volkswagen,2020,85159.0,157.0,2.3,Diesel,Automatic,2,16210.28
Ford,2022,42394.0,342.0,3.4,Diesel,Automatic,0,44006.67
Honda,2018,70214.0,91.0,1.9,Gasoline,Manual,0,10283.9
Toyota,2010,227456.0,197.0,2.5,Hybrid,Automatic,0,17574.75
Ford,2021,44448.0,375.0,3.5,Diesel,Automatic,0,47192.21
Audi,2015,143722.0,138.0,2.0,Gasoline,Manual,0,15242.07
Honda,2018,99822.0,229.0,2.8,Gasoline,Automatic,1,21237.46
Volkswagen,2017,76150.0,307.0,3.2,Gasoline,Automatic,1,29354.99
BMW,2020,52068.0,133.0,2.0,Hybrid,Automatic,2,25673.27
Ford,2015,149362.0,358.0,3.4,Hybrid,Automatic,0,38705.75
Hyundai,2012,177199.0,167.0,2.2,Diesel,Automatic,0,7597.62
Hyundai,2017,83397.0,305.0,3.2,Hybrid,Automatic,1,29967.93
Honda,2018,71585.0,187.0,2.2,Gasoline,Automatic,0,22075.85
Volkswagen,2010,192141.0,325.0,3.1,Gasoline,Automatic,0,31549.77
Honda,2021,75053.0,371.0,3.9,Hybrid,Automatic,3,33989.2
Honda,2018,91957.0,238.0,2.8,Diesel,Automatic,1,24901.32
Toyota,2023,22209.0,393.0,3.7,Diesel,Automatic,0,56053.97
Volkswagen,2024,12459.0,155.0,2.2,Diesel,Automatic,2,21590.34
Volkswagen,2015,102074.0,323.0,3.0,Electric,Automatic,1,37084.75
Toyota,2015,82707.0,176.0,1.9,Diesel,Automatic,1,16674.34
Honda,2021,39726.0,168.0,2.4,Hybrid,Automatic,1,23213.81
Audi,2013,168787.0,294.0,3.1,Diesel,Automatic,0,32241.59
Honda,2010,213834.0,368.0,3.6,Gasoline,Automatic,1,30475.91
Toyota,2019,105511.0,343.0,3.5,Hybrid,Automatic,0,44830.03
Volkswagen,2017,116120.0,393.0,4.4,Gasoline,Automatic,0,45202.83
Hyundai,2011,191814.0,219.0,2.7,Hybrid,Automatic,2,12570.14
Honda,2021,42229.0,173.0,2.0,Diesel,Automatic,0,22363.17
BMW,2010,250613.0,365.0,3.3,Diesel,Automatic,1,32039.63
Mercedes-Benz,2011,,276.0,3.2,Diesel,Manual,2,22256.01
Honda,2010,144572.0,135.0,2.1,Gasoline,Automatic,2,6453.43
BMW,2010,243677.0,272.0,3.1,Gasoline,Automatic,2,20829.18
Ford,2018,61104.0,357.0,3.4,Electric,Automatic,0,49952.87
Volkswagen,2022,67232.0,385.0,3.8,Electric,Automatic,0,61106.63
Volkswagen,2023,19131.0,411.0,3.8,Gasoline,Automatic,0,58971.26
Volkswagen,2010,226296.0,189.0,2.5,Electric,Automatic,0,16812.44
Toyota,2022,27582.0,167.0,2.4,Hybrid,Automatic,0,29594.11
Mercedes-Benz,2013,143149.0,361.0,3.5,Diesel,Manual,0,40045.16
Honda,2019,77747.0,251.0,3.0,Gasoline,Automatic,1,27261.3
Honda,2015,129242.0,133.0,2.0,Hybrid,Automatic,3,7701.79
Toyota,2016,151586.0,327.0,3.4,Diesel,Automatic,1,30268.38
Volkswagen,2011,177379.0,223.0,2.3,Hybrid,Manual,1,17861.28
BMW,2015,173542.0,281.0,3.1,Hybrid,Manual,0,33936.84
Toyota,2016,213920.0,367.0,3.5,Hybrid,Automatic,0,41071.99
Volkswagen,2019,83913.0,107.0,1.9,Diesel,Manual,0,13798.76
Honda,2023,29750.0,101.0,2.0,Gasoline,Manual,1,16460.73
BMW,2019,86047.0,269.0,3.0,Gasoline,Manual,0,40286.68
Toyota,2011,282267.0,212.0,2.3,Gasoline,Automatic,1,13503.38
BMW,2024,22224.0,335.0,3.5,Gasoline,Automatic,0,62817.66
Ford,2011,155004.0,311.0,3.3,Diesel,Manual,0,27107.24
Audi,2019,40783.0,140.0,2.4,Diesel,Manual,0,26073.91
Toyota,2016,116829.0,160.0,2.2,Hybrid,Automatic,0,18198.67
Ford,2021,47600.0,137.0,1.9,Gasoline,Automatic,0,17254.69
Toyota,2010,320000.0,108.0,1.9,Diesel,Manual,1,3500.0
Audi,2017,160191.0,351.0,3.5,Gasoline,Automatic,1,38944.97
Mercedes-Benz,2020,57171.0,173.0,2.3,Gasoline,Automatic,0,35480.58
Honda,2022,31906.0,244.0,2.6,Gasoline,Automatic,2,27722.23
BMW,2012,175535.0,142.0,2.0,Diesel,Automatic,0,13803.38
Mercedes-Benz,2020,91994.0,196.0,2.4,Gasoline,Automatic,3,22425.03
Volkswagen,2015,143720.0,393.0,3.8,Diesel,Automatic,0,43212.96
Volkswagen,2018,83452.0,224.0,2.5,Gasoline,Automatic,1,24873.24
Honda,2015,131664.0,,2.2,Hybrid,Automatic,0,16163.28
Toyota,2018,80846.0,100.0,1.5,Hybrid,Automatic,0,13446.13
Audi,2016,158401.0,232.0,2.4,Electric,Automatic,0,32333.64
Audi,2024,5352.0,281.0,3.1,Hybrid,Automatic,0,61007.04
Volkswagen,2018,88798.0,158.0,2.3,Hybrid,Automatic,0,20833.04
Ford,2011,242451.0,112.0,1.5,Hybrid,Manual,0,3500.0
Ford,2021,49562.0,270.0,2.6,Diesel,Automatic,3,22357.42
BMW,2017,67047.0,382.0,3.5,Gasoline,Manual,1,45110.27
Audi,2017,116670.0,98.0,1.7,Gasoline,Manual,1,12803.98
Audi,2011,171879.0,360.0,3.8,Gasoline,Manual,1,31550.03
Mercedes-Benz,2021,64614.0,182.0,2.3,Diesel,Automatic,3,24880.64
BMW,2023,25679.0,106.0,1.6,Diesel,Manual,0,34411.89
Toyota,2013,163084.0,243.0,2.8,Hybrid,Automatic,0,22557.66
Toyota,2023,29783.0,417.0,4.0,Electric,Automatic,2,50049.6
Audi,2024,9273.0,238.0,2.4,Gasoline,Automatic,1,47673.27
Volkswagen,2020,73360.0,356.0,3.3,Diesel,Automatic,0,44165.05
Toyota,2024,16130.0,417.0,3.7,Electric,Automatic,0,71056.73
Toyota,2016,95674.0,195.0,2.9,Gasoline,Automatic,0,21637.97
BMW,2020,72131.0,124.0,2.1,Diesel,Automatic,2,18965.22
Toyota,2013,209862.0,208.0,2.4,Gasoline,Automatic,0,14978.08
Toyota,2013,184248.0,103.0,2.0,Diesel,Automatic,3,4903.09
Volkswagen,2015,183170.0,103.0,1.6,Gasoline,Automatic,2,4157.69
BMW,2019,78045.0,355.0,3.8,Hybrid,Automatic,1,50462.48
BMW,2015,76504.0,229.0,2.7,Diesel,Manual,0,29563.27
Honda,2019,,383.0,3.6,Gasoline,Automatic,0,44353.69
BMW,2024,17277.0,208.0,2.6,Gasoline,Automatic,0,51959.38
Honda,2012,246605.0,327.0,3.4,Diesel,Automatic,0,28205.66
Honda,2024,20759.0,123.0,2.0,Electric,Automatic,1,22069.16
BMW,2018,106261.0,258.0,2.9,Diesel,Automatic,0,39764.95
BMW,2021,63304.0,99.0,1.7,Diesel,Automatic,0,26200.49
Mercedes-Benz,2019,76588.0,211.0,2.7,Gasoline,Manual,0,34389.69
BMW,2023,17663.0,234.0,3.2,Diesel,Manual,2,37454.87
Volkswagen,2020,74755.0,312.0,3.5,Diesel,Manual,0,37471.78
Toyota,2011,245627.0,346.0,3.5,Diesel,Automatic,2,25491.19
Ford,2015,164849.0,357.0,3.5,Gasoline,Automatic,0,37029.68
Honda,2021,74443.0,93.0,1.6,Diesel,Automatic,0,12927.74
Honda,2016,115970.0,195.0,2.1,Diesel,Automatic,0,20855.09
Hyundai,2021,51573.0,174.0,2.4,Electric,Automatic,0,23431.49
Ford,2022,41157.0,303.0,3.0,Hybrid,Automatic,1,37520.7
Audi,2018,81038.0,210.0,2.4,Diesel,Automatic,0,32389.23
Volkswagen,2022,35276.0,221.0,2.7,Diesel,Automatic,0,32540.4
Mercedes-Benz,2012,199704.0,286.0,3.0,Gasoline,Automatic,1,28573.29
Volkswagen,2019,99842.0,108.0,1.7,Hybrid,Manual,1,13336.61
Volkswagen,2012,169640.0,219.0,2.3,Gasoline,Automatic,1,17361.73
Volkswagen,2016,85695.0,101.0,2.0,Gasoline,Automatic,0,8592.45
Honda,2023,22501.0,170.0,2.0,Gasoline,Manual,0,26905.81
BMW,2013,181004.0,419.0,3.9,Hybrid,Automatic,3,34281.86
Honda,2022,51966.0,351.0,3.1,Gasoline,Automatic,2,35166.33
Toyota,2017,117726.0,214.0,2.5,Diesel,Automatic,3,14515.89
BMW,2022,47250.0,396.0,3.8,Diesel,Manual,0,60646.29
Toyota,2016,120113.0,356.0,3.6,Gasoline,Automatic,1,33962.71
Audi,2014,173901.0,229.0,2.4,Gasoline,Automatic,1,23158.17
Audi,2016,117577.0,418.0,4.1,Hybrid,Manual,0,52640.47
Audi,2012,240126.0,91.0,1.3,Hybrid,Automatic,2,3664.2
Ford,2021,74226.0,97.0,1.7,Gasoline,Manual,1,10085.8
Toyota,2011,134742.0,339.0,3.4,Hybrid,Manual,0,34133.7
Audi,2015,125516.0,228.0,2.6,Diesel,Manual,0,25443.13
Ford,2011,209654.0,213.0,2.6,Gasoline,Manual,2,11165.18
Hyundai,2012,170963.0,398.0,4.0,Diesel,Automatic,0,38616.43
Hyundai,2015,202859.0,317.0,3.5,Electric,Manual,0,30574.53
Mercedes-Benz,2014,167056.0,99.0,1.7,Diesel,Automatic,0,12255.22
Honda,2017,86195.0,301.0,3.0,Gasoline,Automatic,0,36278.26
Ford,2018,112622.0,201.0,2.5,Electric,Automatic,2,18689.39
Mercedes-Benz,2020,75024.0,97.0,1.6,Diesel,Automatic,0,25411.58
Honda,2012,193280.0,381.0,4.0,Gasoline,Automatic,0,36101.8
Toyota,2021,87308.0,342.0,3.3,Diesel,Automatic,2,31277.94
Volkswagen,2019,90273.0,103.0,1.6,Diesel,Manual,0,14695.88
Audi,2012,160418.0,329.0,3.4,Hybrid,Automatic,0,41000.76
BMW,2012,91527.0,331.0,3.0,Diesel,Automatic,1,34170.29
Volkswagen,2022,41509.0,238.0,2.6,Gasoline,Automatic,0,36055.46
Toyota,2022,51245.0,325.0,3.3,Diesel,Manual,0,42248.11
Volkswagen,2015,132736.0,395.0,3.9,Diesel,Automatic,1,38145.71
Hyundai,2024,3429.0,256.0,2.6,Gasoline,Automatic,1,29536.49
Toyota,2024,18362.0,109.0,1.6,Diesel,Automatic,1,22895.32
Volkswagen,2010,259680.0,305.0,3.4,Hybrid,Automatic,3,16460.98
Mercedes-Benz,2016,150339.0,224.0,2.6,Gasoline,Manual,1,27917.27
BMW,2021,,218.0,2.7,Diesel,Automatic,1,38279.59
BMW,2010,181948.0,383.0,3.6,Gasoline,Manual,2,30707.18
BMW,2023,22894.0,335.0,3.4,Gasoline,Manual,0,57212.98
Ford,2014,132256.0,278.0,3.0,Gasoline,Automatic,0,26106.82
Honda,2024,1305.0,133.0,2.3,Gasoline,Manual,1,19695.92
Mercedes-Benz,2019,103750.0,175.0,2.2,Hybrid,Manual,0,32321.17
Mercedes-Benz,2022,55768.0,133.0,1.9,Gasoline,Manual,0,34238.05
Mercedes-Benz,2017,66283.0,419.0,4.2,Diesel,Automatic,0,61439.15
Audi,2013,219411.0,234.0,2.6,Gasoline,Automatic,0,21129.6
Volkswagen,2014,157703.0,140.0,2.1,Electric,Automatic,0,13925.48
Volkswagen,2013,220145.0,331.0,3.6,Diesel,Automatic,2,25313.77
Mercedes-Benz,2021,53018.0,383.0,3.6,Diesel,Manual,2,46548.54
BMW,2021,51874.0,140.0,2.1,Gasoline,Automatic,1,28792.23
BMW,2023,33134.0,355.0,3.9,Gasoline,Automatic,2,48746.2
Mercedes-Benz,2013,135796.0,209.0,2.7,Gasoline,Automatic,0,26018.33
Audi,2021,76201.0,289.0,3.1,Hybrid,Manual,0,47444.54
Ford,2017,73290.0,337.0,3.4,Diesel,Manual,0,36382.36
Ford,2011,170437.0,159.0,2.0,Diesel,Automatic,1,7853.74
Toyota,2010,243258.0,146.0,1.8,Diesel,Automatic,0,6824.19
Volkswagen,2012,160488.0,128.0,2.2,Gasoline,Automatic,0,7411.36
Toyota,2018,119717.0,378.0,4.0,Diesel,Automatic,1,38549.76
Ford,2013,220973.0,107.0,1.6,Diesel,Manual,0,5024.36
Volkswagen,2019,100359.0,309.0,3.3,Diesel,Automatic,3,22482.42
Honda,2014,84416.0,402.0,3.9,Diesel,Automatic,1,38652.93
Volkswagen,2011,207358.0,333.0,3.6,Gasoline,Manual,0,30524.96
Toyota,2013,205763.0,,3.9,Gasoline,Manual,0,37191.44
Toyota,2011,125082.0,387.0,3.8,Hybrid,Manual,1,36390.92
Mercedes-Benz,2024,15990.0,372.0,3.5,Diesel,Manual,0,66961.81
Ford,2011,224709.0,163.0,2.2,Gasoline,Automatic,0,10819.89
Toyota,2013,112991.0,199.0,2.4,Electric,Automatic,0,21789.1
Volkswagen,2015,162941.0,269.0,3.0,Gasoline,Automatic,2,22117.31
Mercedes-Benz,2016,132248.0,121.0,1.8,Hybrid,Automatic,0,21699.83
Honda,2019,91885.0,323.0,3.2,Electric,Automatic,2,33173.64
Volkswagen,2012,132556.0,371.0,3.5,Hybrid,Automatic,2,32650.12
Toyota,2012,190323.0,114.0,1.9,Hybrid,Manual,0,7072.93
Toyota,2019,47922.0,368.0,3.6,Gasoline,Automatic,1,39693.0
Volkswagen,2015,62730.0,315.0,3.6,Gasoline,Automatic,0,36421.35
Volkswagen,2022,35234.0,146.0,1.8,Diesel,Manual,0,21733.1
Volkswagen,2021,71458.0,269.0,3.0,Gasoline,Automatic,1,32879.8
BMW,2012,203887.0,321.0,3.3,Gasoline,Automatic,1,30323.58
Hyundai,2022,39472.0,376.0,4.1,Diesel,Automatic,0,46102.52
Volkswagen,2011,190935.0,153.0,2.2,Gasoline,Manual,2,8139.01
Honda,2017,89688.0,321.0,3.4,Hybrid,Automatic,1,34569.9
Mercedes-Benz,2014,149784.0,378.0,3.7,Hybrid,Automatic,2,37868.09
Honda,2024,16309.0,302.0,3.0,Hybrid,Manual,0,44572.32
Ford,2010,189981.0,347.0,3.5,Diesel,Manual,2,22012.41
Toyota,2012,219647.0,107.0,1.5,Hybrid,Automatic,0,5896.36
Toyota,2019,91293.0,264.0,2.6,Hybrid,Manual,0,30158.23
Hyundai,2017,115288.0,318.0,3.5,Diesel,Automatic,1,27021.77
Mercedes-Benz,2013,196787.0,315.0,2.9,Gasoline,Automatic,1,32448.59
BMW,2023,16545.0,173.0,2.2,Hybrid,Manual,0,47084.2
Ford,2016,145420.0,380.0,3.5,Hybrid,Manual,0,39405.4
Toyota,2019,78854.0,335.0,3.3,Diesel,Automatic,0,39363.05
Toyota,2021,55231.0,199.0,2.5,Gasoline,Manual,1,24216.95
Honda,2023,28099.0,343.0,3.6,Diesel,Manual,0,44140.05
Volkswagen,2023,19114.0,177.0,2.5,Gasoline,Automatic,0,30215.81
BMW,2011,198038.0,161.0,2.0,Hybrid,Automatic,0,17856.96
BMW,2016,62436.0,119.0,1.8,Electric,Automatic,3,16950.74
Honda,2014,133170.0,261.0,3.7,Gasoline,Manual,1,21807.02
Audi,2014,93301.0,398.0,3.8,Diesel,Automatic,1,42056.52
BMW,2015,175837.0,266.0,2.7,Gasoline,Automatic,2,24596.41
Volkswagen,2022,52713.0,,2.5,Diesel,Automatic,0,35509.16
Volkswagen,2018,67580.0,283.0,3.0,Gasoline,Automatic,0,35855.49
Ford,2023,34900.0,275.0,2.9,Diesel,Manual,0,35973.72
Honda,2015,163346.0,307.0,3.1,Gasoline,Automatic,1,28818.78
Ford,2021,62589.0,253.0,2.8,Gasoline,Automatic,0,32085.7
BMW,2022,43060.0,,2.8,Gasoline,Automatic,0,48518.16
Toyota,2024,17184.0,102.0,1.5,Gasoline,Automatic,0,23248.8
Toyota,2023,18411.0,385.0,3.8,Diesel,Automatic,0,52893.73
Toyota,2017,112941.0,178.0,2.3,Gasoline,Manual,0,17245.91
Toyota,2016,114862.0,413.0,4.0,Diesel,Automatic,3,30152.63
Mercedes-Benz,2018,84283.0,131.0,1.6,Hybrid,Manual,1,19770.78
BMW,2013,175772.0,299.0,3.2,Hybrid,Automatic,2,28673.91
Ford,2011,,318.0,2.9,Hybrid,Automatic,3,20322.11
Toyota,2016,166700.0,364.0,3.6,Hybrid,Automatic,0,40939.45
Volkswagen,2015,148197.0,368.0,3.8,Gasoline,Manual,0,37124.33
Ford,2010,247998.0,340.0,3.6,Gasoline,Automatic,1,26767.88
Toyota,2020,83766.0,399.0,3.9,Diesel,Automatic,2,37297.52
Ford,2018,166376.0,297.0,3.3,Hybrid,Automatic,0,35008.87
Ford,2018,54540.0,410.0,3.9,Electric,Manual,3,34408.98
Volkswagen,2021,41809.0,229.0,2.5,Gasoline,Automatic,0,34112.09
Volkswagen,2011,263088.0,369.0,4.2,Gasoline,Manual,0,30675.13
Toyota,2012,165498.0,123.0,2.0,Gasoline,Manual,1,6244.3
Ford,2014,188848.0,398.0,3.6,Diesel,Manual,0,38247.05
Volkswagen,2014,159458.0,107.0,1.4,Diesel,Manual,0,6840.26
Volkswagen,2024,23485.0,146.0,1.9,Gasoline,Automatic,0,30852.75
Mercedes-Benz,2010,161968.0,201.0,2.7,Diesel,Automatic,0,22159.33
BMW,2017,137489.0,94.0,1.7,Diesel,Automatic,1,15814.02
Toyota,2021,83405.0,271.0,2.5,Diesel,Manual,2,23277.49
Toyota,2017,83266.0,102.0,1.7,Gasoline,Automatic,2,8131.44
BMW,2013,203134.0,374.0,3.7,Hybrid,Automatic,1,40179.43
Toyota,2022,29709.0,348.0,3.0,Diesel,Manual,0,45020.19
Volkswagen,2016,126220.0,179.0,2.3,Hybrid,Automatic,0,19681.27
Audi,2024,13749.0,193.0,2.2,Hybrid,Automatic,0,48620.99
